lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal,         snf0,snf1,snf2,snf3
37.410460,-122.059753,136.814331,123.035233,-23.464436,-15.536449,-33.445511,43.709990,3,-83,-90,-84,-84
37.410460,-122.059753,136.795181,123.016083,-23.315208,-15.553093,-33.818844,43.922794,3,-83,-90,-84,-84
37.410460,-122.059753,136.810928,123.031822,-23.315208,-16.152096,-33.494209,43.890218,3,-83,-90,-84,-84
37.410460,-122.059753,136.841721,123.062614,-23.497595,-16.368401,-33.023495,43.710556,3,-83,-90,-84,-84
37.410460,-122.059753,136.858536,123.079430,-23.000177,-15.736115,-33.153347,43.310251,3,-83,-90,-84,-84
37.410460,-122.059753,136.840393,123.061287,-23.298628,-15.469891,-33.348129,43.522882,3,-83,-90,-84,-84
37.410460,-122.059753,136.831497,123.052399,-23.630241,-15.869225,-33.023491,43.597839,3,-83,-90,-84,-84
37.410460,-122.059753,136.837860,123.058762,-23.182564,-15.985703,-33.818844,44.007819,3,-83,-82,-79,-79
37.410460,-122.059753,136.827011,123.047905,-23.447853,-15.619648,-33.234505,43.569571,3,-83,-82,-79,-79
37.410460,-122.059753,136.814621,123.035522,-23.315208,-15.719479,-32.942326,43.311635,3,-83,-82,-79,-79
37.410460,-122.059753,136.805069,123.025970,-23.630238,-15.935783,-33.088413,43.671277,3,-83,-82,-79,-79
37.410460,-122.059753,136.797836,123.018730,-23.431271,-15.869232,-33.283195,43.687848,3,-83,-82,-79,-79
37.410460,-122.059753,136.773880,122.994774,-23.282045,-15.253593,-33.526672,43.574804,3,-83,-82,-79,-79
37.410460,-122.059753,136.752090,122.972984,-23.447855,-15.652927,-33.169567,43.532014,3,-83,-82,-79,-79
37.410460,-122.059753,136.730896,122.951797,-23.481014,-15.586376,-33.137104,43.501274,3,-83,-82,-79,-79
37.410460,-122.059753,136.729813,122.950714,-22.900694,-15.636288,-32.991024,43.096902,3,-83,-82,-79,-79
37.410460,-122.059753,136.779541,123.000443,-22.701727,-16.102188,-33.575359,43.611393,3,-83,-82,-79,-79
37.410460,-122.059753,136.802750,123.023651,-23.431273,-15.969078,-33.445507,43.847895,3,-87,-90,-87,-87
37.410460,-122.059753,136.814285,123.035179,-23.282049,-15.919163,-33.039711,43.440719,3,-87,-90,-87,-87
37.410460,-122.059753,136.798660,123.019554,-23.514177,-15.419991,-33.331886,43.608569,3,-87,-90,-87,-87
37.410460,-122.059753,136.784332,123.005234,-23.165981,-15.802692,-33.088413,43.373158,3,-87,-90,-87,-87
37.410460,-122.059753,136.791794,123.012688,-23.497595,-15.736137,-32.861168,43.354577,3,-87,-90,-87,-87
37.410460,-122.059753,136.760513,122.981415,-24.011595,-15.453274,-33.137108,43.742751,3,-87,-90,-87,-87
