lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal,         snf0,snf1,snf2,snf3
37.410390,-122.059652,164.756607,150.981323,-8.648064,-15.828930,-20.912991,27.616973,8,-95,-87,-92,-92
37.410390,-122.059652,164.741684,150.966400,-8.581757,-15.662529,-20.848064,27.451833,8,-95,-87,-92,-92
37.410390,-122.059652,164.722137,150.946854,-8.780678,-15.928768,-20.653286,27.520614,8,-95,-87,-92,-92
37.410390,-122.059652,164.752655,150.977371,-8.018044,-15.795650,-20.880527,27.382257,8,-95,-87,-92,-92
37.410390,-122.059652,164.782425,151.007141,-8.382767,-15.828930,-20.848049,27.485759,8,-95,-87,-92,-92
37.410390,-122.059652,164.788300,151.013016,-8.515404,-16.061882,-20.815609,27.636674,8,-95,-87,-92,-92
37.410390,-122.059652,164.863159,151.087875,-7.852249,-16.228279,-21.042835,27.709489,8,-95,-87,-92,-92
37.410390,-122.059652,164.931549,151.156265,-8.018059,-16.294834,-20.848064,27.648737,8,-70,-85,-85,-85
37.410390,-122.059652,164.984985,151.209702,-8.117538,-15.729088,-21.270069,27.671546,8,-70,-85,-85,-85
37.410390,-122.059652,165.011765,151.236481,-8.250175,-15.962040,-20.912991,27.571821,8,-70,-85,-85,-85
37.410390,-122.059652,165.020782,151.245499,-8.581757,-15.629257,-21.075306,27.605955,8,-70,-85,-85,-85
37.410390,-122.059652,165.027832,151.252548,-8.283318,-15.629261,-21.140217,27.564396,8,-70,-85,-85,-85
37.410390,-122.059652,165.058624,151.283340,-8.399368,-15.912132,-20.701984,27.428407,8,-70,-85,-85,-85
37.410390,-122.059652,165.081482,151.306198,-8.664627,-16.145081,-20.279972,27.331605,8,-70,-85,-85,-85
37.410390,-122.059652,165.074280,151.298996,-8.764099,-15.812298,-20.604588,27.411443,8,-85,-78,-88,-88
37.410390,-122.059652,165.087982,151.312698,-8.515411,-15.995331,-21.075291,27.794437,8,-85,-78,-88,-88
37.410390,-122.059652,165.087082,151.311798,-8.664619,-15.845570,-20.929195,27.643967,8,-85,-78,-88,-88
37.410390,-122.059652,165.111023,151.335739,-8.399368,-15.878841,-21.286289,27.853063,8,-85,-78,-88,-88
37.410390,-122.059652,165.137817,151.362534,-8.382774,-16.261543,-20.620815,27.566768,8,-85,-78,-88,-88
37.410390,-122.059652,165.199631,151.424347,-8.067795,-16.311466,-20.701962,27.563099,8,-85,-78,-88,-88
37.410390,-122.059652,165.254562,151.479279,-8.217003,-16.028599,-20.523426,27.306522,8,-85,-78,-88,-88
37.410390,-122.059652,165.301147,151.525864,-7.835709,-15.745728,-20.182575,26.770555,8,-85,-78,-88,-88
37.410390,-122.059652,165.340637,151.565353,-8.366219,-16.011951,-20.442265,27.281173,8,-85,-78,-88,-88
37.410390,-122.059652,165.369232,151.593948,-7.935173,-15.812279,-20.637043,27.182396,8,-85,-78,-88,-88
37.410390,-122.059652,165.400574,151.625290,-8.051224,-15.862202,-21.497288,27.902778,8,-85,-78,-88,-88
37.410390,-122.059652,165.433640,151.658356,-8.200424,-15.845566,-20.669498,27.304891,9,-85,-78,-88,-88
37.410390,-122.059652,165.490479,151.715195,-7.769386,-15.945400,-20.734432,27.286184,9,-81,-83,-74,-74
37.410390,-122.059652,165.517181,151.741898,-8.399376,-15.845566,-20.669498,27.365300,9,-81,-83,-74,-74
37.410390,-122.059652,165.527512,151.752228,-8.183853,-15.862202,-20.815578,27.420306,9,-81,-83,-74,-74
37.410390,-122.059652,165.562515,151.787231,-8.001480,-15.745728,-21.156429,27.559864,9,-81,-83,-74,-74
37.410390,-122.059652,165.591476,151.816193,-8.100960,-15.679161,-20.701962,27.203545,9,-81,-83,-74,-74
37.410390,-122.059652,165.577927,151.802643,-8.531998,-15.546043,-20.701962,27.258864,9,-81,-83,-74,-74
37.410390,-122.059652,165.525787,151.750504,-8.747528,-15.962029,-20.393574,27.335022,9,-81,-83,-74,-74
37.410390,-122.059652,165.524765,151.749481,-8.283318,-15.962036,-20.523411,27.287549,9,-81,-83,-74,-74
37.410390,-122.059652,165.570679,151.795395,-8.084366,-15.828918,-20.620792,27.223679,9,-75,-81,-86,-86
37.410390,-122.059652,165.558624,151.783340,-8.531982,-15.845551,-20.150097,27.016710,9,-75,-81,-86,-86
37.410390,-122.059652,165.556915,151.781631,-8.399353,-15.945381,-20.085163,26.985516,9,-75,-81,-86,-86
37.410390,-122.059652,165.555069,151.779785,-8.349609,-15.862183,-20.880497,27.519447,9,-75,-81,-86,-86
37.410390,-122.059652,165.573029,151.797745,-8.134094,-15.878830,-21.026577,27.575672,9,-75,-81,-86,-86
37.410390,-122.059652,165.563965,151.788681,-8.233551,-15.213245,-20.994106,27.202696,9,-75,-81,-86,-86
37.410390,-122.059652,165.506622,151.731339,-8.498802,-15.213249,-21.156422,27.409246,9,-75,-81,-86,-86
37.410390,-122.059652,165.481888,151.706604,-8.216957,-15.562687,-21.464817,27.757053,9,-75,-81,-86,-86
37.410390,-122.059652,165.498657,151.723373,-8.134064,-15.712440,-21.123959,27.554771,9,-75,-81,-86,-86
37.410390,-122.059652,165.537643,151.762360,-8.034599,-15.878830,-20.961643,27.496955,9,-75,-81,-86,-86
37.410390,-122.059652,165.575424,151.800140,-7.852226,-15.762348,-21.172649,27.538884,9,-73,-83,-87,-87
37.410390,-122.059652,165.595947,151.820663,-8.100906,-15.446198,-20.766865,27.119594,9,-73,-83,-87,-87
37.410390,-122.059652,165.604950,151.829666,-8.067749,-15.645870,-20.572086,27.075682,9,-73,-83,-87,-87
37.410390,-122.059652,165.643341,151.868057,-8.167236,-15.878830,-20.896709,27.486605,9,-73,-83,-87,-87
37.410390,-122.059652,165.630966,151.855682,-8.498787,-15.612598,-20.831783,27.385138,9,-73,-83,-87,-87
37.410390,-122.059652,165.583267,151.807983,-8.598251,-15.346363,-20.864239,27.290241,9,-73,-83,-87,-87
37.410390,-122.059652,165.551773,151.776489,-8.283257,-15.329727,-21.042774,27.320527,9,-73,-83,-87,-87
37.410390,-122.059652,165.532974,151.757690,-8.283257,-15.396282,-20.815548,27.183541,9,-73,-83,-87,-87
37.410390,-122.059652,165.559158,151.783875,-8.134041,-15.679157,-20.864239,27.337064,9,-73,-83,-87,-87
37.410390,-122.059652,165.599289,151.824005,-8.150627,-15.928745,-20.685688,27.350600,9,-73,-83,-87,-87
37.410390,-122.059652,165.639832,151.864548,-8.034576,-16.111778,-20.864231,27.558301,9,-73,-83,-87,-87
37.410390,-122.059652,165.674271,151.898987,-8.216957,-16.028580,-20.783077,27.502183,11,-73,-83,-87,-87
37.410390,-122.059652,165.700516,151.925232,-7.951691,-15.862190,-20.847996,27.376585,11,-82,-86,-84,-84
37.410390,-122.059652,165.722534,151.947250,-8.051147,-15.595951,-20.750607,27.177975,11,-82,-86,-84,-84
37.410390,-122.059652,165.714340,151.939056,-8.067726,-15.479481,-20.474682,26.905671,11,-82,-86,-84,-84
