lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal
37.410341,-122.059995,326.416016,312.629822,6.982063,-1.039967,-34.386368,35.103462,14
37.410341,-122.059995,324.395752,310.609558,6.849396,-1.505928,-33.964348,34.680816,14
37.410341,-122.059995,324.275665,310.489471,6.683571,-1.805481,-34.094193,34.789996,14
37.410341,-122.059995,324.171753,310.385559,5.920753,-2.437862,-33.639717,34.243672,14
37.410341,-122.059995,324.498962,310.712769,5.506176,-2.654213,-33.526104,34.078769,14
37.410341,-122.059995,326.536407,312.750214,5.589088,-2.038479,-33.509869,34.033874,14
37.410341,-122.059995,323.189331,309.403137,6.302162,-2.354664,-34.110432,34.767560,14
37.410341,-122.059995,329.295868,315.509674,5.688587,-2.171608,-33.931885,34.473884,14
37.410341,-122.059995,326.852203,313.066010,5.953918,-2.304745,-34.191593,34.782554,14
37.410341,-122.059995,323.769562,309.983368,6.285580,-2.005196,-34.321442,34.949831,14
37.410341,-122.059995,321.805603,308.019409,6.053413,-2.038471,-33.412479,34.017539,14
37.410341,-122.059995,321.623230,307.837036,5.788082,-2.171600,-33.899429,34.458512,14
37.410341,-122.059995,325.501770,311.715576,5.688580,-2.537720,-33.996826,34.562757,14
37.410341,-122.059995,327.028076,313.241882,5.075001,-3.519581,-34.370148,34.920626,14
37.410341,-122.059995,322.964630,309.178436,5.008667,-4.285095,-33.753349,34.390949,14
37.410341,-122.059995,320.469727,306.683533,4.560925,-5.100536,-33.899429,34.583071,14
37.410341,-122.059995,314.588409,300.802216,4.677010,-5.649715,-34.013042,34.794838,14
37.410341,-122.059995,320.893188,307.106995,4.793098,-5.866055,-33.802036,34.640468,14
37.410341,-122.059995,318.618561,304.832367,3.930782,-7.363800,-33.737106,34.754409,14
37.410341,-122.059995,310.339569,296.553375,4.013699,-7.114174,-33.233932,34.223026,17
37.410341,-122.059995,316.476959,302.690765,3.897617,-7.696632,-33.477409,34.571180,17
37.410341,-122.059995,315.312561,301.526367,3.864449,-7.763210,-33.347565,34.456661,17
37.410341,-122.059995,310.391815,296.605621,3.897614,-7.696644,-33.509872,34.602619,17
37.410341,-122.059995,309.150330,295.364136,3.682026,-7.779846,-33.363792,34.456146,17
37.410341,-122.059995,314.149841,300.363647,3.847858,-7.779842,-33.655960,34.757094,17
37.410341,-122.059995,313.776520,299.990326,4.212681,-8.112671,-33.298866,34.530807,17
37.410341,-122.059995,311.028809,297.242615,4.693588,-8.195881,-33.574802,34.877924,17
37.410341,-122.059995,312.724121,298.937927,5.970478,-7.746552,-34.305222,35.672173,17
37.410341,-122.059995,320.582947,306.796753,6.351887,-7.164093,-34.873322,36.163784,17
37.410341,-122.059995,319.001068,305.214874,6.335304,-7.347157,-34.694775,36.025604,17
37.410341,-122.059995,316.663818,302.877625,6.302143,-7.380440,-33.915661,35.276904,17
37.410341,-122.059995,317.050690,303.264496,6.351894,-6.698120,-34.516220,35.729271,17
37.410341,-122.059995,317.736847,303.950653,6.136303,-5.982525,-34.857086,35.895143,17
37.410341,-122.059995,323.229431,309.443237,5.738312,-5.716267,-34.499992,35.438022,17
37.410341,-122.059995,323.752869,309.966675,6.202633,-5.949249,-34.499992,35.554405,17
37.410341,-122.059995,326.501587,312.715393,5.887558,-6.298717,-34.483765,35.545284,17
37.410341,-122.059995,325.010895,311.224701,6.368465,-7.214008,-35.019405,36.317462,17
37.410341,-122.059995,325.317596,311.531403,6.550873,-7.230652,-34.808399,36.149978,17
37.410341,-122.059995,326.191528,312.405334,6.501125,-6.648201,-35.019409,36.232889,17
37.410341,-122.059995,326.684082,312.897888,6.783028,-6.698120,-35.262882,36.528689,17
37.410341,-122.059995,325.622589,311.836395,6.501125,-6.681477,-34.662319,35.894054,17
37.410341,-122.059995,325.581329,311.795135,5.937302,-6.947750,-34.337688,35.533078,17
37.410341,-122.059995,325.021576,311.235382,6.119709,-6.631557,-34.548691,35.707708,17
37.410341,-122.059995,323.849243,310.063049,6.219208,-6.564983,-35.262871,36.403950,17
37.410341,-122.059995,324.343872,310.557678,6.036793,-6.381935,-35.019398,36.104434,17
37.410341,-122.059995,324.781830,310.995636,6.136288,-6.348644,-34.824623,35.926504,17
37.410341,-122.059995,323.419891,309.633698,6.152874,-6.365284,-34.710999,35.822174,17
37.410341,-122.059995,321.434052,307.647858,6.169453,-6.681477,-34.629845,35.804056,17
37.410341,-122.059995,321.118195,307.332001,6.285542,-6.598267,-34.970707,36.138560,17
37.410341,-122.059995,321.214844,307.428650,6.136292,-6.548340,-35.051865,36.182427,17
37.410341,-122.059995,321.341125,307.554932,6.186043,-6.731396,-34.840858,36.020331,17
37.410341,-122.059995,321.419464,307.633270,6.285530,-6.797955,-34.873322,36.081417,17
37.410341,-122.059995,321.385040,307.598846,6.766438,-6.515053,-34.792168,36.037835,17
37.410341,-122.059995,321.410095,307.623901,6.086529,-6.498413,-34.938255,36.054915,17
37.410341,-122.059995,322.865417,309.079224,6.766430,-5.915955,-34.922028,36.060104,17
37.410341,-122.059995,326.116486,312.330292,6.418182,-5.832745,-34.970730,36.030070,17
37.410341,-122.059995,321.163025,307.376831,6.418182,-6.598267,-34.743488,35.942178,17
37.410341,-122.059995,320.085815,306.299622,6.434772,-6.748043,-34.857101,36.082681,17
37.410341,-122.059995,321.990814,308.204620,6.020199,-6.897816,-34.548710,35.741237,17
37.410341,-122.059995,322.943939,309.157745,6.202618,-7.047585,-34.727257,35.973925,17
37.410341,-122.059995,322.279388,308.493195,6.219204,-7.097511,-34.743484,36.002262,17
37.410341,-122.059995,324.387207,310.601013,6.119709,-6.598263,-35.068111,36.204424,17
37.410341,-122.059995,326.472046,312.685852,6.351875,-6.331997,-35.068108,36.196860,17
37.410341,-122.059995,330.390015,316.603821,5.987053,-6.864529,-35.327816,36.483162,17
37.410341,-122.059995,326.219421,312.433228,6.401630,-7.047585,-34.986950,36.259288,17
37.410341,-122.059995,323.787567,310.001373,6.368465,-6.781322,-34.792175,36.014430,17
37.410341,-122.059995,324.239868,310.453674,6.351879,-7.030945,-35.165501,36.419679,17
37.410341,-122.059995,324.497803,310.711609,6.368465,-7.580120,-35.441437,36.798247,17
37.410341,-122.059995,324.498199,310.712006,6.932289,-7.546841,-35.473896,36.924365,17
37.410341,-122.059995,324.534790,310.748596,6.816204,-7.064236,-35.197968,36.541223,12
37.410341,-122.059995,327.847382,314.061188,6.733288,-7.014309,-34.986954,36.312871,12
37.410341,-122.059995,327.072174,313.285980,7.015198,-6.931103,-35.165501,36.522125,12
37.410341,-122.059995,331.763123,317.976929,6.650372,-6.431854,-35.425205,36.613404,12
37.410341,-122.059995,331.370636,317.584442,7.247356,-7.230652,-35.003189,36.469573,12
37.410341,-122.059995,330.801331,317.015137,7.048359,-7.164089,-34.970726,36.386195,12
37.410341,-122.059995,322.864410,309.078217,6.899120,-7.546844,-35.344048,36.793402,12
37.410341,-122.059995,323.746460,309.960266,6.733295,-6.781330,-35.311584,36.581849,12
37.410341,-122.059995,324.763000,310.976807,6.716713,-6.598263,-34.970726,36.216060,12
37.410341,-122.059995,324.893616,311.107422,6.318726,-6.931103,-35.392742,36.614378,12
37.410341,-122.059995,325.122345,311.336151,6.584057,-6.997677,-35.327812,36.611086,12
37.410341,-122.059995,325.276733,311.490540,6.202656,-7.047604,-35.376511,36.601081,12
37.410341,-122.059995,325.246979,311.460785,6.965473,-7.114162,-35.019417,36.407261,12
37.410341,-122.059995,325.121765,311.335571,6.865974,-7.147442,-34.889568,36.269953,12
37.410341,-122.059995,324.853912,311.067719,7.081551,-7.030952,-35.230423,36.616463,12
37.410341,-122.059995,323.434814,309.648621,7.263973,-6.814606,-35.149265,36.533204,12
37.410341,-122.059995,323.398529,309.612335,6.766487,-7.280567,-34.792179,36.184081,12
37.410341,-122.059995,323.422546,309.636353,6.550903,-7.430347,-35.035656,36.409087,12
37.410341,-122.059995,323.633881,309.847687,6.385078,-7.630043,-35.003185,36.389693,12
37.410341,-122.059995,323.735138,309.948944,6.418240,-7.530190,-34.840870,36.218556,12
37.410341,-122.059995,323.777832,309.991638,6.385078,-7.863026,-34.873337,36.314543,12
37.410341,-122.059995,323.698029,309.911835,6.401669,-7.580116,-34.824635,36.210422,12
37.410341,-122.059995,323.685242,309.899048,5.854427,-7.696613,-34.678551,36.001584,12
37.410341,-122.059995,323.852478,310.066284,5.638851,-7.846386,-35.311577,36.609696,12
37.410341,-122.059995,323.825195,310.039001,6.136349,-7.546841,-35.214184,36.532839,12
37.410341,-122.059995,323.841980,310.055786,6.351925,-7.263943,-35.003178,36.308873,12
37.410341,-122.059995,323.709900,309.923706,6.617256,-7.496918,-34.905792,36.309863,12
37.410341,-122.059995,323.531555,309.745361,6.882587,-7.530209,-34.905788,36.366030,12
37.410341,-122.059995,323.287506,309.501312,6.667011,-7.313873,-34.759701,36.141093,12
37.410341,-122.059995,323.258484,309.472290,6.385101,-7.330517,-34.905785,36.234235,12
37.410341,-122.059995,323.265900,309.479706,6.302185,-7.613422,-34.727234,36.106267,12
37.410341,-122.059995,323.188629,309.402435,6.948921,-7.363800,-35.197948,36.625246,12
37.410341,-122.059995,323.142517,309.356323,6.882587,-7.164104,-35.230408,36.604317,12
37.410341,-122.059995,323.091827,309.305634,6.584095,-7.663357,-35.197941,36.619290,12
37.410341,-122.059995,322.937958,309.151764,6.219265,-7.796478,-34.970699,36.365013,12
37.410341,-122.059995,322.833893,309.047699,6.302193,-7.846405,-34.435059,35.875576,12
37.410341,-122.059995,322.636475,308.850281,6.368519,-7.746552,-34.694756,36.114999,12
37.410341,-122.059995,322.458679,308.672485,6.418270,-7.763195,-35.100540,36.517247,12
37.410341,-122.059995,322.491028,308.704834,6.418274,-7.197376,-34.938229,36.244672,12
37.410341,-122.059995,322.546692,308.760498,6.269024,-7.214016,-34.792145,36.080965,12
37.410341,-122.059995,322.675415,308.889221,6.600677,-7.047596,-35.279087,36.576653,12
37.410341,-122.059995,320.131470,306.345276,6.766510,-7.347145,-34.921993,36.322332,12
37.410341,-122.059995,321.574036,307.787842,6.749928,-7.263943,-34.938225,36.318121,12
37.410341,-122.059995,320.585510,306.799316,6.948921,-7.829754,-35.165466,36.690633,12
37.410341,-122.059995,320.394257,306.608063,6.799683,-7.746548,-35.344009,36.816351,12
37.410341,-122.059995,320.840027,307.053833,7.197681,-7.513561,-35.051842,36.563531,12
37.410341,-122.059995,322.152069,308.365875,6.965523,-6.847900,-35.830948,37.138512,12
37.410341,-122.059995,323.570374,309.784180,7.463013,-6.847900,-35.344006,36.766684,12
37.410341,-122.059995,323.346222,309.560028,7.363506,-7.147449,-35.571243,37.021894,12
37.410341,-122.059995,323.121399,309.335205,7.429836,-7.180737,-35.376476,36.854586,12
37.410341,-122.059995,323.106232,309.320038,7.081593,-6.797974,-35.197929,36.541150,14
37.410341,-122.059995,323.141479,309.355286,7.197674,-6.847897,-35.376476,36.745003,14
37.410341,-122.059995,323.141479,309.355286,7.147926,-6.997677,-35.262859,36.654189,14
37.410341,-122.059995,323.220337,309.434143,7.247425,-6.831264,-35.392712,36.767314,14
37.410341,-122.059995,323.237366,309.451172,7.496174,-7.280590,-35.344017,36.856467,14
37.410341,-122.059995,323.278473,309.492279,7.529339,-6.781338,-35.473869,36.892721,14
37.410341,-122.059995,323.314423,309.528229,7.164509,-7.014324,-35.311565,36.707459,14
37.410341,-122.059995,323.380493,309.594299,7.197674,-6.448513,-35.376492,36.672687,14
37.410341,-122.059995,323.490936,309.704742,7.380093,-6.298737,-35.230412,36.542054,14
37.410341,-122.059995,323.567108,309.780914,7.429840,-6.581642,-35.571270,36.930147,14
37.410332,-122.059994,323.386597,309.600403,7.894165,-7.180744,-35.571270,37.137531,14
37.410332,-122.059994,323.218597,309.432404,7.711758,-6.664852,-35.490112,36.924782,14
37.410332,-122.059994,323.117188,309.330994,7.214260,-7.097534,-35.457653,36.873645,14
37.410332,-122.059994,323.068420,309.282227,6.766521,-7.114174,-35.279106,36.619839,14
37.410332,-122.059994,322.917358,309.131165,7.778095,-6.797985,-35.555042,37.025294,14
37.410332,-122.059994,322.753448,308.967255,7.346935,-6.664852,-35.327801,36.694022,14
37.410332,-122.059994,322.771820,308.985626,7.264015,-6.215527,-35.376495,36.645533,14
37.410332,-122.059994,322.631683,308.845490,7.446430,-6.565002,-35.327801,36.696077,14
37.410332,-122.059994,322.553223,308.767029,7.512764,-6.198891,-35.457649,36.771086,14
37.410332,-122.059994,322.412292,308.626099,7.778088,-6.498440,-35.555038,36.971464,14
37.410329,-122.060020,322.294342,308.508148,7.048443,-6.698139,-36.041981,37.330550,14
37.410329,-122.060020,322.099152,308.312958,7.197701,-6.881195,-35.473885,36.845003,14
37.410329,-122.060020,321.998718,308.212524,6.799709,-6.581646,-35.506348,36.745814,14
37.410329,-122.060020,322.014832,308.228638,7.131374,-6.248817,-35.473888,36.719218,14
37.410329,-122.060020,322.004333,308.218140,7.313782,-5.965908,-34.938248,36.190670,14
37.410329,-122.060020,321.949219,308.163025,7.048450,-6.731415,-35.262878,36.585013,14
37.410329,-122.060020,321.767761,307.981567,6.683624,-7.130817,-35.327805,36.654784,14
37.410329,-122.060020,321.637512,307.851318,6.882626,-6.931110,-34.775932,36.121687,14
37.410329,-122.060020,321.532501,307.746307,6.915791,-6.931103,-35.100567,36.440611,14
37.410329,-122.060020,321.246277,307.460083,7.081623,-7.197369,-35.068100,36.492782,14
37.410334,-122.060007,321.277405,307.491211,6.385139,-6.664837,-34.808395,36.011310,14
37.410334,-122.060007,321.100128,307.313934,6.849453,-7.696621,-35.003174,36.488014,14
37.410334,-122.060007,318.111450,304.325256,6.617287,-7.397072,-35.230412,36.601736,14
37.410334,-122.060007,318.318787,304.532593,6.252472,-7.164089,-34.970711,36.240422,14
37.410334,-122.060007,318.488617,304.702423,6.468048,-7.546844,-34.922020,36.308924,14
37.410334,-122.060007,318.485443,304.699249,6.484631,-7.530209,-34.451309,35.855923,14
37.410334,-122.060007,318.491364,304.705170,6.600708,-7.613415,-34.922012,36.346669,14
37.410334,-122.060007,318.539093,304.752899,6.368542,-7.813110,-35.181717,36.597216,14
37.410334,-122.060007,318.635559,304.849365,6.915783,-7.530201,-35.230419,36.683980,14
37.410334,-122.060007,318.654022,304.867828,6.716785,-7.330505,-34.840862,36.231715,14
37.410332,-122.060013,318.707214,304.921021,6.534382,-7.679981,-35.538818,36.941682,14
37.410332,-122.060013,318.714783,304.928589,6.600708,-7.779827,-35.051872,36.506558,14
37.410332,-122.060013,318.557861,304.771667,6.219296,-8.096020,-34.353916,35.838760,14
